ID;RIADOK 1;Názov ;Latinský názov;Semiačka;Obrázok
52;Kel zimný, tržný;Kel kučeravý ;Brassica oleracea var. sabellica;Y;Y
53;Kel raný;"Kel hlávkový ""skorý"" ";Brassica oleracea var. sabauda;Y;Y
54;Mrkva brunšvická dlhá tmavočervená;Mrkva obyčajná ;Daucus carota;Y;Y
55;Petržlen dlhý tlstý neskorý;Petržlen záhradný ;Petroselinum crispum;Y;Y
56;Celer pražský biely hladký obrovský;Zeler voňavý;Apium graveolens;Y;Y
57;Pór zimný obrovský;Pór záhradný ;Allium porrum;Y;Y
58;Karotka či mrkva nantesská, červená;"Mrkva obyčajná ""Karotka"" ";Daucus carota;Y;Y
61;Fazuľa či bôb nízka zakrsnutá;Fazuľa ;Phaseolus;Y;Y
62;Reďkvica guľatá, pražský vzor, šarlat. Malolistá;"Reďkev siata ""červená"" ";Raphanus sativus;Y;Y
63;Kveták či karfiol raný zákrsok;"Karfiol ""skorý""";Brassica oleracea var. botrytis;Y;Y
64;Paprika uhorská červená;Paprika ročná ;Capsicum annuum;Y;Y
65;Cibuľa žitavská obrovská žltá;"Cesnak cibuľový ""Cibuľa""";Allium cepa;Y;Y
66;Šalát hlávkový, tvrdohlávek, žlutý, velký, pevný, trvanlivý;Šalát listový;Lactuta sativa;Y;Y
67;"Hrach k vylúpaniu ""pražský zákrsok"" skorý";Hrach siaty ;Pisum sativum;Y;Y
68;Červená repa salátová skorá;Cvikla;Beta vulgaris;Y;Y
71;Reďkev zimná čierna dlhá;Reďkev čierna;Raphanus sativus var. Sativus;Y;Y
72;Kapusta erfurtská, raná;"Hlávková kapusta ""skorá"" ";Brassica oleracea var. capitata;Y;Y
73;Ogarky nakládačky, malé zelené;Uhorka siata ;Cucumis sativus;Y;Y
74;Kapusta brunšvická zimná Vredeho;"Hlávková kapusta ""zimná""";Brassica oleracea var. capitata;Y;Y
75;Kaleráb Obor Goliáš modrý pozdný;"Kaleráb ""modrý""";Brassica oleracea var. gongylodes;Y;Y
76;Špinát veľký tržný;Špenát siaty ;Spinacia oleracea;Y;Y
77;Retkev biela guľatoplochá, Vodňačka;Okrúhlica;Brassica rapa subsp. Rapa;Y;Y
78;Rájske jablká, veľké červené, Paradajky;Rajčiak jedlý;Solanum lycopersicum;Y;Y
81;Ogarky dlhé šalátniky rané bohato rodiace;"Uhorka siata ""šalátová"" ";Cucumis sativus;Y;Y
82;Bazalka drobnolistá;Bazalka drobnolistá ;Ocimum basilicum;Y;Y
83;Anglický kaleráb, biely raný;Kaleráb ;Brassica oleracea var. gongylodes;Y;Y
84;Repa biela veľká Kvaka;"Repa ""Kvaka"" ";Brassica napus;Y;Y
85;Majoránka kutnohorská letná;Majorán záhradný ;Origanum majorana;Y;Y
86;Kôpor veľkozrnný záhradný;Kôpor voňavý ;Anethum graveolens;Y;Y
87;Reďkvica miešaná;Reďkev siata ;Raphanus sativus;Y;Y
88;Petržlen k rezániu, natový či listový;"Petržlen záhradný ""vňať"" ";Petroselinum crispum;Y;Y
